,DEPARTAMENTO,MUNICIPIO,CODIGO REGISTRO,FECHA REGISTRO,CAEB_SEP,CIRC,NOMBRE DE LA UNIDAD
8896,LA PAZ,EL ALTO,0201043582,2018-03-14,36101,4,CUSTOM MADE BOLIVIA SRL
8897,COCHABAMBA,COCHABAMBA,0301011015,2018-03-14,28999,4,METAL MECANICA CLAUDIA JIMENA PINATO SOTO
8898,COCHABAMBA,COCHABAMBA,0301011015,2018-03-14,28110,4,METAL MECANICA CLAUDIA JIMENA PINATO SOTO
8899,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701010719,2018-03-15,15411,4,"""HIPERMAXI S.A. - PANADERIA SUCURSAL SUR"""
8900,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011253,2018-03-15,15419,4,HIPERMAXI SA PANADERIA SUCRUSAL LAS PALMAS
8901,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011253,2018-03-15,15411,4,HIPERMAXI SA PANADERIA SUCRUSAL LAS PALMAS
8902,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701010719,2018-03-15,15419,4,"""HIPERMAXI S.A. - PANADERIA SUCURSAL SUR"""
8903,COCHABAMBA,QUILLACOLLO,0309010329,2018-03-16,36101,4,PRAGART S.R.L.
8904,SANTA CRUZ,MONTERO,0710010593,2018-03-19,15313,4,SAIMO S.R.L
8905,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011160,2018-03-19,20210,3,INDUSTRIA FORESTAL CIMAL IMR S.A.
8906,SANTA CRUZ,MONTERO,0710010592,2018-03-19,15313,4,HARINA DE SOYA INTEGRAL SAN MARCOS
8907,LA PAZ,EL ALTO,0201043583,2018-03-21,15134,4,PRODUCTOS CENTLLAS
8908,COCHABAMBA,SACABA,0310010583,2018-03-21,15542,4,AGUA PURIFICADA DE MESA SANTIAGO
8909,COCHABAMBA,SACABA,0310010583,2018-03-21,15543,4,AGUA PURIFICADA DE MESA SANTIAGO
8910,COCHABAMBA,COCHABAMBA,0301011017,2018-03-22,24241,3,PRODUCCION DE ARTICULOS DE LIMPIEZA Y DETERGENTES CAR CRISS ORIANA
8911,COCHABAMBA,COCHABAMBA,0301011017,2018-03-22,24241,3,PRODUCCION DE ARTICULOS DE LIMPIEZA Y DETERGENTES CAR CRISS ORIANA
8912,SANTA CRUZ,MONTERO,0710010595,2018-03-22,28920,4,TORNERIA ANGEL
8913,COCHABAMBA,COCHABAMBA,0301011016,2018-03-22,15202,4,HELADOS CHIKENS KINGDOM SRL.
8914,COCHABAMBA,COCHABAMBA,0301011017,2018-03-22,24243,3,PRODUCCION DE ARTICULOS DE LIMPIEZA Y DETERGENTES CAR CRISS ORIANA
8915,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701010634,2018-03-22,15114,2,matadero de cerdos indufrisa srl
8916,COCHABAMBA,COCHABAMBA,0301011017,2018-03-22,24243,3,PRODUCCION DE ARTICULOS DE LIMPIEZA Y DETERGENTES CAR CRISS ORIANA
8917,SANTA CRUZ,MONTERO,0710010594,2018-03-22,15112,4,FAENEADORA JHON ALEX
8918,SANTA CRUZ,LA GUARDIA,0070104060,2018-03-23,15499,4,LA MONALISA SACHETS
8919,TARIJA,CERCADO,0601010310,2018-03-23,15419,4,PANADERIA
8920,TARIJA,CERCADO,0601010310,2018-03-23,15411,4,PANADERIA
8921,COCHABAMBA,COCHABAMBA,0301011018,2018-03-26,15542,4,EMPRESA INDUSTRIAL SAN LUIS
8922,BENI,TRINIDAD,0801010143,2018-03-26,20220,4,CARPINTERIA ISIBORO
8923,TARIJA,TARIJA,0601010579,2018-03-27,28920,4,MUELLERIA CAÑITOS
8924,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011138,2018-03-27,34300,4,BARBERA DIESEL
8925,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0701011138,2018-03-27,28920,4,BARBERA DIESEL
8926,LA PAZ,EL ALTO,0201043584,2018-03-28,37200,4,RECICLADORA DE ELAXANA
8927,SANTA CRUZ,YAPACANI,0704030041,2018-03-28,26960,4,PLANTA DE CLASIFICACION Y TRITURACION DE AGREGADOS SERVICION MINEROS DEL SUR SERMISUD S.A.
8928,ORURO,ORURO,0401010838,2018-03-29,15411,4,"PANADERIA ""MACHICADO"""
8929,LA PAZ,VIACHA,0208010278,2018-03-29,15492,4,JATANI S.R.L.
8930,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001863,2018-04-02,36101,4,"""KOSEY"""
8931,LA PAZ,EL ALTO,0201043588,2018-04-02,37200,4,MAXI GREEN S.R.L.
8932,LA PAZ,NUESTRA SEÑORA DE LA PAZ,0201001863,2018-04-02,36104,4,"""KOSEY"""
8933,LA PAZ,EL ALTO,0201042029,2018-04-02,28920,4,"RECTIFICADORA ""FALCON"""
8934,LA PAZ,EL ALTO,0201042029,2018-04-02,34300,4,"RECTIFICADORA ""FALCON"""
8935,LA PAZ,EL ALTO,0201043587,2018-04-02,26950,3,PREMACBOL
8936,LA PAZ,EL ALTO,0201043589,2018-04-02,15411,4,PANADERIA KARINA
8937,LA PAZ,EL ALTO,0201043590,2018-04-03,37200,4,DREMIBOL
